gamma,targetVoter,rounds,samplesPerWorld,empiricalAdvantage,theoryAdvantage,uncappedTheoryAdvantage,etaL2,maxAbsCoordinateDelta,kappa,rhoTau
0.05,2,15,10000,0.500000,0.500000,5.781305,0.920178,0.724193,100,3000000
0.05,2,16,10000,0.500000,0.500000,5.970906,0.920178,0.724193,100,3000000
0.05,2,17,10000,0.500000,0.500000,6.154669,0.920178,0.724193,100,3000000
0.05,2,18,10000,0.500000,0.500000,6.333102,0.920178,0.724193,100,3000000
0.05,2,19,10000,0.500000,0.500000,6.506644,0.920178,0.724193,100,3000000
0.05,2,20,10000,0.500000,0.500000,6.675676,0.920178,0.724193,100,3000000
0.05,2,21,10000,0.500000,0.500000,6.840532,0.920178,0.724193,100,3000000
0.05,2,22,10000,0.500000,0.500000,7.001508,0.920178,0.724193,100,3000000
0.05,2,23,10000,0.500000,0.500000,7.158865,0.920178,0.724193,100,3000000
0.05,2,24,10000,0.500000,0.500000,7.312836,0.920178,0.724193,100,3000000
0.05,2,25,10000,0.500000,0.500000,7.463632,0.920178,0.724193,100,3000000
0.05,2,26,10000,0.500000,0.500000,7.611441,0.920178,0.724193,100,3000000
0.05,2,27,10000,0.500000,0.500000,7.756434,0.920178,0.724193,100,3000000
0.05,2,28,10000,0.500000,0.500000,7.898766,0.920178,0.724193,100,3000000
0.05,2,29,10000,0.500000,0.500000,8.038578,0.920178,0.724193,100,3000000
0.05,2,30,10000,0.500000,0.500000,8.176000,0.920178,0.724193,100,3000000
0.05,2,31,10000,0.500000,0.500000,8.311149,0.920178,0.724193,100,3000000
0.05,2,32,10000,0.500000,0.500000,8.444136,0.920178,0.724193,100,3000000
0.05,2,33,10000,0.500000,0.500000,8.575061,0.920178,0.724193,100,3000000
0.05,2,34,10000,0.500000,0.500000,8.704016,0.920178,0.724193,100,3000000
0.05,2,35,10000,0.500000,0.500000,8.831089,0.920178,0.724193,100,3000000
0.05,2,36,10000,0.500000,0.500000,8.956359,0.920178,0.724193,100,3000000
0.05,2,37,10000,0.500000,0.500000,9.079901,0.920178,0.724193,100,3000000
0.05,2,38,10000,0.500000,0.500000,9.201784,0.920178,0.724193,100,3000000
0.05,2,39,10000,0.500000,0.500000,9.322074,0.920178,0.724193,100,3000000
0.05,2,40,10000,0.500000,0.500000,9.440831,0.920178,0.724193,100,3000000
0.05,2,41,10000,0.500000,0.500000,9.558113,0.920178,0.724193,100,3000000
0.05,2,42,10000,0.500000,0.500000,9.673973,0.920178,0.724193,100,3000000
0.05,2,43,10000,0.500000,0.500000,9.788462,0.920178,0.724193,100,3000000
0.05,2,44,10000,0.500000,0.500000,9.901627,0.920178,0.724193,100,3000000
0.05,2,45,10000,0.500000,0.500000,10.013514,0.920178,0.724193,100,3000000
0.05,2,46,10000,0.500000,0.500000,10.124163,0.920178,0.724193,100,3000000
0.05,2,47,10000,0.500000,0.500000,10.233617,0.920178,0.724193,100,3000000
0.05,2,48,10000,0.500000,0.500000,10.341912,0.920178,0.724193,100,3000000
0.05,2,49,10000,0.500000,0.500000,10.449085,0.920178,0.724193,100,3000000
0.05,2,50,10000,0.500000,0.500000,10.555170,0.920178,0.724193,100,3000000
0.10,2,1,10000,0.339950,0.500000,1.004001,0.851923,0.674193,100,3000000
0.10,2,2,10000,0.425350,0.500000,1.419871,0.851923,0.674193,100,3000000
0.10,2,3,10000,0.460200,0.500000,1.738980,0.851923,0.674193,100,3000000
0.10,2,4,10000,0.479650,0.500000,2.008001,0.851923,0.674193,100,3000000
0.10,2,5,10000,0.487250,0.500000,2.245014,0.851923,0.674193,100,3000000
0.10,2,6,10000,0.493050,0.500000,2.459289,0.851923,0.674193,100,3000000
0.10,2,7,10000,0.495250,0.500000,2.656336,0.851923,0.674193,100,3000000
0.10,2,8,10000,0.497600,0.500000,2.839742,0.851923,0.674193,100,3000000
0.10,2,9,10000,0.499150,0.500000,3.012002,0.851923,0.674193,100,3000000
0.10,2,10,10000,0.499050,0.500000,3.174929,0.851923,0.674193,100,3000000
0.10,2,11,10000,0.499500,0.500000,3.329893,0.851923,0.674193,100,3000000
0.10,2,12,10000,0.499800,0.500000,3.477960,0.851923,0.674193,100,3000000
0.10,2,13,10000,0.499800,0.500000,3.619976,0.851923,0.674193,100,3000000
0.10,2,14,10000,0.499950,0.500000,3.756626,0.851923,0.674193,100,3000000
0.10,2,15,10000,0.499900,0.500000,3.888478,0.851923,0.674193,100,3000000
0.10,2,16,10000,0.500000,0.500000,4.016002,0.851923,0.674193,100,3000000
0.10,2,17,10000,0.499950,0.500000,4.139600,0.851923,0.674193,100,3000000
0.10,2,18,10000,0.500000,0.500000,4.259614,0.851923,0.674193,100,3000000
0.10,2,19,10000,0.500000,0.500000,4.376337,0.851923,0.674193,100,3000000
0.10,2,20,10000,0.500000,0.500000,4.490027,0.851923,0.674193,100,3000000
0.10,2,21,10000,0.500000,0.500000,4.600909,0.851923,0.674193,100,3000000
0.10,2,22,10000,0.500000,0.500000,4.709180,0.851923,0.674193,100,3000000
0.10,2,23,10000,0.500000,0.500000,4.815018,0.851923,0.674193,100,3000000
0.10,2,24,10000,0.500000,0.500000,4.918578,0.851923,0.674193,100,3000000
0.10,2,25,10000,0.500000,0.500000,5.020003,0.851923,0.674193,100,3000000
0.10,2,26,10000,0.500000,0.500000,5.119419,0.851923,0.674193,100,3000000
0.10,2,27,10000,0.500000,0.500000,5.216940,0.851923,0.674193,100,3000000
0.10,2,28,10000,0.500000,0.500000,5.312672,0.851923,0.674193,100,3000000
0.10,2,29,10000,0.500000,0.500000,5.406709,0.851923,0.674193,100,3000000
0.10,2,30,10000,0.500000,0.500000,5.499138,0.851923,0.674193,100,3000000
0.10,2,31,10000,0.500000,0.500000,5.590039,0.851923,0.674193,100,3000000
0.10,2,32,10000,0.500000,0.500000,5.679485,0.851923,0.674193,100,3000000
0.10,2,33,10000,0.500000,0.500000,5.767544,0.851923,0.674193,100,3000000
0.10,2,34,10000,0.500000,0.500000,5.854279,0.851923,0.674193,100,3000000
0.10,2,35,10000,0.500000,0.500000,5.939748,0.851923,0.674193,100,3000000
0.10,2,36,10000,0.500000,0.500000,6.024004,0.851923,0.674193,100,3000000
