mode,instanceId,expectedTruthfulReward,expectedShortcutReward,expectedRewardGap
psi=0.30,14,1305633.600000,1182352.800000,123280.80000000028
baseline,15,1257352.500000,885245.250000,372107.25
psi=0.05,15,1281617.250000,946720.725000,334896.5249999999
psi=0.10,15,1305882.000000,1008196.200000,297685.79999999993
psi=0.20,15,1354411.500000,1131147.150000,223264.3500000001
psi=0.30,15,1402941.000000,1254098.100000,148842.8999999999
baseline,16,1161290.000000,885245.250000,276044.75
psi=0.05,16,1195161.000000,946720.725000,248440.2749999999
psi=0.10,16,1229032.000000,1008196.200000,220835.79999999993
psi=0.20,16,1296774.000000,1131147.150000,165626.8500000001
psi=0.30,16,1364516.000000,1254098.100000,110417.8999999999
baseline,17,1014084.000000,885245.250000,128838.75
psi=0.05,17,1062675.600000,946720.725000,115954.875
psi=0.10,17,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,17,1208450.400000,1131147.150000,77303.25
psi=0.30,17,1305633.600000,1254098.100000,51535.5
baseline,18,1014084.000000,580645.000000,433439.0
psi=0.05,18,1062675.600000,672580.500000,390095.1000000001
psi=0.10,18,1111267.200000,764516.000000,346751.2000000002
psi=0.20,18,1208450.400000,948387.000000,260063.3999999999
psi=0.30,18,1305633.600000,1132258.000000,173375.6000000001
baseline,19,1628048.500000,705882.000000,922166.5
psi=0.05,19,1615243.650000,785293.800000,829949.8500000002
psi=0.10,19,1602438.800000,864705.600000,737733.2000000002
psi=0.20,19,1576829.100000,1023529.200000,553299.9
psi=0.30,19,1551219.400000,1182352.800000,368866.6000000001
baseline,20,1741935.000000,1033536.375000,708398.625
psi=0.05,20,1717741.500000,1080182.737500,637558.7625
psi=0.10,20,1693548.000000,1126829.100000,566718.8999999999
psi=0.20,20,1645161.000000,1220121.825000,425039.1749999996
psi=0.30,20,1596774.000000,1313414.550000,283359.4500000002
baseline,21,1014084.000000,1033536.375000,-19452.375
psi=0.05,21,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,21,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,21,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,21,1305633.600000,1313414.550000,-7780.949999999953
