voterIndex,report,peerIndex,peerReport,peerMatch,lotteryWin,lotteryDraw,stake,expectedScore,allocationScore,payout,payoutShare
0,1,1,0,0,0,2715873151,10,0,1000,997,0.000332
1,0,2,1,0,0,2988793792,10,0,1000,997,0.000332
2,1,3,1,1,0,4167283807,10,2322580,1000,997,0.000332
3,1,4,0,0,0,1148380191,10,0,1000,997,0.000332
4,0,5,0,1,1,2456739324,10,2322580,3001000,2993018,0.997672
5,0,6,1,0,0,146926068,10,0,1000,997,0.000332
6,1,7,0,0,0,1377704464,10,0,1000,997,0.000332
7,0,0,1,0,0,1707882884,10,0,1000,1000,0.000333
